Name,Job_Title
John L. Hennessy,Independent Chairman of the Board
Sundar Pichai,"Chief Executive Officer, Director"
Ruth M. Porat,"Chief Financial Officer, Senior Vice President"
Prabhakar Raghavan,Senior Vice President - Knowledge and Information of Google
Philipp Schindler,"Senior Vice President, Chief Business Officer of Google"
Kent Walker,"President - Global Affairs, Chief Legal Officer of Alphabet and Google; Corporate Secretary of Alphabet"
Sergey Brin,"Director, Co-Founder"
Lawrence E. Page,"Director, Co-Founder"
Frances Arnold,Independent Director
John Doerr,Independent Director
Roger W. Ferguson,Independent Director
Ann Mather,Independent Director
Kavitark Ram Shriram,Independent Director
Robin L. Washington,Independent Director
